,sex,age,dorm_select,college_of,personality,weekend_stay,weekday_stay,smoke,alchol,m_how_eat,how_eat_in,wake_up,m_sleep,sleep_sensitive,sleep_habit,clean_period,shower_timezone,w_age_range,w_diff_college_of,w_personality,w_weekend_stay,w_weekday_stay,w_smoke,w_alchol,w_how_eat,w_how_eat_in,w_wake_up,w_sleep,w_sleep_sensitive,w_sleep_habit,w_clean_period,w_shower_timezone,default_cluster,age_cluster,college_of_cluster,personality_cluster,weekend_stay_cluster,weekday_stay_cluster,smoke_cluster,alchol_cluster,m_how_eat_cluster,how_eat_in_cluster,wake_up_cluster,m_sleep_cluster,sleep_sensitive_cluster,sleep_habit_cluster,clean_period_cluster,shower_timezone_cluster
85,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,2,1,1,0,1,0,1,1,0,0,2,2,1,0,0,2,2,1,6,1,8,1,1,2,2,2,6,5,1,8,8,1,1
86,1,1,2,5,2,1,1,1,1,2,2,3,2,2,2,1,2,2,1,2,2,2,1,0,2,0,3,2,1,1,1,1,3,3,3,3,8,3,3,3,3,0,3,3,3,3,7,6
87,1,2,1,7,2,2,2,1,2,2,2,1,2,1,1,2,2,0,0,2,0,0,1,1,2,0,2,2,1,0,1,2,1,6,1,8,1,1,2,2,2,6,5,1,8,8,1,1
88,1,1,2,7,2,1,1,2,1,2,1,1,2,1,1,3,2,2,1,2,0,0,1,1,2,0,1,2,1,0,3,1,3,3,3,3,8,3,3,3,3,7,3,3,3,3,7,6
89,2,2,1,6,1,1,1,1,2,1,2,2,1,1,3,2,2,2,0,0,0,2,1,0,0,2,2,1,1,0,2,0,2,2,4,5,2,2,0,0,0,3,2,7,0,0,3,2
90,2,3,2,4,1,1,2,1,2,1,2,2,2,2,1,2,1,3,1,1,1,2,1,2,1,2,2,2,1,0,2,1,5,0,6,4,7,5,1,1,1,4,0,5,1,1,5,5
91,2,2,2,11,2,2,1,2,2,3,2,1,1,1,3,2,2,2,2,2,1,0,1,2,1,2,1,2,1,0,2,1,5,0,6,4,7,5,1,1,1,4,8,5,1,1,5,5
92,1,1,1,6,2,1,1,1,1,1,2,1,1,2,3,2,1,1,0,0,0,2,1,0,0,2,0,1,0,0,2,0,1,1,1,8,1,4,2,6,6,6,5,6,5,5,1,1
93,2,3,1,0,2,2,2,1,1,2,1,1,1,2,3,2,1,0,0,2,0,0,1,1,0,1,1,1,0,0,2,2,2,2,4,5,2,2,0,5,0,5,7,7,0,0,3,2
94,2,2,2,2,1,1,1,1,3,2,2,1,2,1,1,2,2,2,1,2,2,1,1,1,1,0,2,1,1,0,2,1,5,0,6,4,7,5,1,1,1,4,8,5,1,1,5,5
95,2,1,2,4,1,2,2,1,3,1,1,2,2,2,3,2,1,3,1,1,1,0,1,2,1,1,2,2,1,2,2,2,5,0,6,4,7,5,1,1,1,4,0,5,1,1,5,5
96,1,2,1,5,1,2,2,1,2,2,1,2,1,1,3,2,2,0,0,0,0,0,1,0,0,0,2,1,0,1,2,0,1,6,1,8,1,1,2,6,6,1,1,6,8,8,1,1
97,2,2,2,7,2,2,2,1,2,1,2,1,2,1,2,2,1,3,1,1,2,1,1,2,1,2,1,2,1,0,2,2,5,0,6,4,7,5,1,1,1,4,8,5,1,1,5,5
98,2,6,2,1,1,2,2,1,1,1,2,2,3,1,1,2,1,3,1,1,1,1,1,2,1,2,1,2,1,0,2,1,0,4,8,7,0,0,7,8,5,4,4,0,4,4,5,0
99,1,2,1,5,2,2,1,1,1,2,2,1,3,2,1,2,2,3,1,1,1,2,1,1,1,1,1,3,1,0,2,1,4,1,1,1,1,4,2,6,6,6,5,8,5,5,1,1
100,2,4,1,3,2,1,1,1,1,1,2,2,3,1,3,2,2,0,0,1,0,0,1,1,0,2,2,3,0,0,2,1,2,7,4,5,2,7,0,0,0,3,2,7,6,0,3,7
101,2,4,2,0,1,2,1,1,3,1,2,2,3,1,3,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,8,7,0,0,7,8,5,2,4,0,4,4,2,0
102,2,2,1,4,1,2,2,1,2,3,1,1,2,1,3,2,2,0,0,0,0,0,1,0,0,2,2,2,0,0,2,1,2,2,4,5,2,2,0,5,0,5,7,2,0,0,3,2
103,2,1,2,0,1,1,2,1,2,1,2,2,2,2,3,1,2,0,0,0,1,1,1,0,0,2,0,2,0,0,1,1,7,8,0,0,5,6,4,4,8,2,0,4,7,7,2,4
104,2,2,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,0,0,2,0,1,0,0,0,2,1,2,0,0,1,1,7,8,0,0,5,6,4,4,8,2,8,4,7,7,2,4
105,1,4,1,6,2,1,2,1,1,2,1,2,2,1,3,2,1,3,0,0,0,0,1,0,0,1,2,2,0,1,2,2,1,6,1,8,1,1,2,2,2,1,1,1,8,8,1,1
106,1,3,2,2,1,2,2,1,1,3,1,2,2,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,7,3,3,3,3,0,3
107,2,3,1,6,2,2,1,1,1,1,2,1,2,1,3,2,2,2,0,2,0,0,1,0,0,2,1,2,0,0,2,1,2,2,4,5,2,2,0,5,0,3,7,2,0,0,3,2
108,1,1,2,1,1,1,2,1,1,3,1,2,2,2,1,2,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,3,3,3,3,3,3,3,3,7,3,3,3,3,0,3
109,2,2,1,7,1,1,2,2,2,2,2,1,2,1,1,1,2,0,0,0,2,0,0,0,0,0,1,2,1,0,1,0,6,2,2,2,6,2,8,5,4,5,7,2,0,6,8,2
110,1,4,1,2,1,1,2,1,1,3,2,2,2,1,3,2,1,0,0,0,0,1,1,0,0,2,2,2,0,1,2,2,1,6,1,8,1,1,2,2,2,6,1,1,8,8,1,1
111,2,4,1,6,2,1,1,1,1,2,2,1,2,1,2,2,2,0,0,0,2,1,0,2,0,2,1,2,0,0,2,1,2,2,4,5,2,2,0,5,0,3,7,2,0,0,3,2
112,2,2,1,5,2,1,1,1,2,1,2,1,3,1,3,2,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,7,4,5,2,7,0,0,0,3,7,7,6,0,3,7
113,2,1,2,6,2,1,1,1,1,1,2,1,2,1,3,2,2,1,0,0,2,1,1,2,0,2,2,3,0,0,2,0,5,0,6,4,7,5,1,1,1,4,8,5,1,1,5,5
114,2,3,2,6,1,2,1,1,1,2,1,2,3,1,2,3,2,0,1,1,1,0,1,0,0,1,2,3,1,0,3,1,0,4,5,7,0,0,7,8,5,2,4,0,4,4,6,0
115,1,2,1,0,1,1,1,1,1,1,2,2,2,2,3,2,2,2,0,0,2,1,1,0,0,2,2,2,0,0,2,0,1,6,1,8,1,1,2,2,2,6,1,1,5,8,1,1
116,2,4,2,0,1,1,1,1,2,1,2,1,1,2,3,2,1,0,0,2,0,0,1,1,0,2,1,1,0,0,2,2,5,0,6,4,7,5,1,1,1,4,8,5,1,1,5,5
117,2,1,2,7,2,2,2,1,2,1,2,2,2,1,3,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,5,0,6,4,7,5,1,1,1,4,0,5,1,1,5,5
118,2,4,2,7,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,1,1,0,0,0,0,0,2,2,0,1,0,7,8,0,0,5,6,4,4,8,2,0,4,7,7,2,4
119,2,2,1,6,1,1,1,1,1,1,2,2,2,1,3,2,2,0,0,2,0,0,1,0,0,2,2,2,0,0,2,1,2,2,4,5,2,2,0,5,0,3,2,2,0,0,3,2
120,2,3,2,11,1,1,1,1,2,1,1,1,2,2,1,3,2,0,0,0,0,0,1,0,0,0,1,2,0,0,3,0,7,0,5,0,7,5,4,4,8,4,8,5,7,7,6,5
121,2,5,2,1,1,1,1,1,1,1,1,1,2,1,3,2,2,3,0,0,0,0,1,0,0,0,1,2,0,1,2,1,5,0,6,4,7,5,1,1,1,4,8,5,1,1,5,5
122,2,1,2,2,2,2,2,1,3,2,2,2,3,1,1,2,2,1,0,0,0,1,0,0,0,2,0,3,1,0,2,0,0,4,8,7,0,0,7,8,5,4,4,0,4,4,5,0
123,2,2,2,2,1,2,1,1,2,1,2,2,3,1,1,1,1,0,0,0,0,0,1,0,0,2,2,3,1,0,1,0,0,4,8,7,0,0,7,8,5,2,4,0,4,4,2,0
124,2,3,1,12,2,1,2,1,1,1,1,2,2,1,3,2,2,2,0,0,0,1,1,0,0,0,2,2,1,1,2,1,2,2,4,5,2,2,0,5,0,5,2,2,0,0,3,2
125,2,1,2,7,1,2,1,1,2,2,2,2,2,1,2,1,2,0,0,0,0,0,1,2,0,2,2,2,0,0,1,0,7,8,0,0,5,6,4,4,8,2,0,4,7,7,2,4
126,2,2,1,5,1,2,2,1,2,1,2,3,3,1,3,2,2,2,0,2,2,1,1,0,0,2,0,3,0,0,2,1,2,7,4,5,2,7,0,0,0,3,7,7,6,0,3,7
127,2,3,2,5,2,1,1,1,1,2,1,2,2,1,1,2,1,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,5,0,6,4,7,5,1,1,1,4,0,5,1,1,5,5
128,2,1,2,11,1,2,1,1,2,1,2,1,2,2,1,3,1,0,1,0,1,1,1,2,0,0,1,2,0,0,3,2,7,0,5,0,7,5,4,4,8,2,8,5,7,7,6,5
129,1,1,1,2,2,1,1,1,1,3,1,2,2,1,3,2,1,0,0,0,2,1,1,2,0,0,2,2,0,0,2,2,1,6,1,8,1,1,2,2,2,1,1,1,8,8,1,1
130,2,1,2,11,1,2,2,1,1,2,1,2,3,1,2,3,1,0,1,0,1,0,1,1,0,1,0,0,1,0,3,0,0,4,5,7,0,0,7,8,5,2,4,0,4,4,6,0
131,2,2,2,11,2,1,2,1,1,1,2,2,2,2,1,1,2,2,0,0,2,1,1,1,0,2,2,2,2,0,1,0,7,8,0,0,5,6,4,4,8,2,0,4,7,7,2,4
132,2,3,1,5,2,1,1,1,1,1,2,2,2,1,3,2,1,0,2,0,2,0,1,1,0,2,2,0,1,0,2,2,2,2,4,5,2,2,0,5,0,3,2,2,0,0,3,2
133,2,2,2,7,1,1,2,1,2,1,2,3,3,1,1,1,2,0,1,0,0,0,1,0,0,2,3,3,0,0,1,0,0,4,8,7,0,0,7,8,5,2,4,0,4,4,2,0
134,1,5,1,2,1,1,1,1,1,1,2,1,1,2,3,2,1,0,0,1,0,0,1,1,0,2,1,1,2,1,2,2,1,1,1,8,1,4,2,6,6,6,5,6,5,5,1,1
135,2,2,1,0,1,2,1,1,2,1,1,3,3,1,3,3,2,1,0,0,1,0,1,0,0,1,3,3,0,0,0,1,6,7,2,2,6,7,8,0,4,5,7,7,6,6,8,7
136,2,2,1,9,2,1,1,1,1,3,2,2,2,1,2,1,1,0,0,2,0,0,1,0,0,2,0,2,0,2,1,2,6,2,2,2,6,2,8,5,4,5,2,2,0,6,8,2
137,1,1,1,8,2,1,2,1,1,1,2,2,2,2,2,2,1,1,0,0,0,0,1,0,0,2,0,2,2,2,2,2,1,6,1,8,1,1,2,2,2,6,1,1,5,8,1,1
138,2,2,2,7,1,2,2,1,1,1,2,3,3,1,3,3,2,0,0,0,0,0,1,0,0,2,3,3,0,0,3,0,0,4,5,7,0,0,7,8,5,2,4,0,4,4,6,0
139,1,2,1,8,1,1,1,1,2,1,2,2,2,1,3,1,2,0,0,1,0,0,1,0,0,2,2,2,0,1,0,0,8,5,7,6,4,8,5,7,7,8,1,1,2,2,4,8
140,1,3,1,1,1,2,2,1,3,1,2,2,3,1,1,2,1,0,0,0,1,0,0,0,0,0,2,3,0,0,2,0,4,1,1,1,1,4,2,6,6,6,1,8,8,5,1,1
141,1,2,1,2,1,1,1,1,1,1,2,2,2,1,2,3,2,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,1,6,7,6,1,8,5,2,2,8,1,1,8,2,4,1
142,2,1,1,9,2,1,1,1,2,1,2,2,3,1,3,1,2,1,0,1,2,0,1,0,0,2,2,3,0,1,1,1,6,7,2,2,6,7,8,0,4,3,2,7,6,6,8,7
143,2,5,2,7,1,1,1,1,1,1,2,1,2,1,2,2,2,0,0,0,0,0,1,0,0,0,1,2,1,0,2,0,5,0,6,4,7,5,1,1,1,4,8,5,1,1,5,5
144,1,4,1,1,1,1,2,2,2,2,1,1,1,2,3,2,1,3,0,0,2,1,0,1,0,0,1,1,0,0,2,2,1,1,1,8,1,1,6,6,6,1,5,6,5,5,1,1
145,2,5,2,7,2,2,2,1,1,1,2,1,2,1,2,1,2,0,0,2,1,1,0,0,0,2,1,2,1,0,1,1,7,8,0,0,5,6,4,4,8,2,8,4,7,7,2,4
146,1,1,1,7,1,1,1,1,3,1,2,3,2,1,2,3,1,0,0,1,0,0,1,0,0,2,0,0,1,0,2,0,1,6,7,6,1,8,5,2,2,8,6,1,8,2,4,1
147,2,2,1,3,2,1,2,1,1,2,1,1,2,1,3,1,1,0,0,0,2,1,1,1,0,0,1,2,0,0,1,0,6,2,2,2,6,2,8,5,4,5,7,2,0,6,8,2
148,2,1,2,5,1,1,2,1,3,1,2,3,2,1,1,3,2,0,1,0,2,0,1,1,3,0,4,2,0,0,0,1,7,0,5,0,7,5,4,4,8,2,0,5,7,7,6,5
149,1,1,1,6,1,1,2,1,1,3,2,3,2,1,3,2,2,2,0,2,0,1,1,0,0,0,0,0,0,0,2,0,1,6,1,8,1,1,2,2,2,6,6,1,8,8,1,1
150,2,2,2,4,2,2,1,1,1,3,2,2,2,1,1,2,2,0,0,2,1,1,1,0,0,2,2,2,0,0,2,1,5,0,6,4,7,5,1,1,1,4,0,5,1,1,5,5
151,2,1,2,2,1,2,1,1,3,1,2,2,3,1,1,1,2,0,1,0,1,1,0,0,0,2,2,3,1,0,1,1,0,4,8,7,0,0,7,8,5,2,4,0,4,4,2,0
152,2,4,1,5,1,2,2,1,1,1,2,1,2,1,3,2,1,0,0,1,0,0,0,0,0,2,1,2,1,1,2,2,2,2,4,5,2,2,0,5,0,3,7,2,0,0,3,2
153,1,1,1,1,2,2,2,1,2,3,2,1,2,1,3,2,2,0,0,1,0,0,1,2,0,0,1,2,0,0,2,0,1,6,1,8,1,1,2,2,2,6,5,1,8,8,1,1
154,2,4,2,5,2,2,2,1,1,3,2,3,2,1,1,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,7,8,0,0,5,6,4,4,8,2,0,4,7,7,2,4
155,2,1,1,4,2,2,2,1,1,1,1,2,2,1,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,2,2,4,5,2,2,0,5,0,5,2,2,0,0,3,2
156,2,2,2,2,1,2,2,1,3,3,2,2,2,1,1,1,2,0,1,0,1,0,1,0,0,2,2,2,0,0,1,1,7,8,0,0,5,6,4,4,8,2,0,4,7,7,2,4
157,2,3,2,0,2,2,2,1,3,2,2,1,2,1,3,2,1,0,0,2,0,1,1,2,0,2,1,2,1,0,2,0,5,0,6,4,7,5,1,1,1,4,8,5,1,1,5,5
158,2,3,1,6,1,2,2,2,2,2,1,2,2,1,3,3,2,3,0,0,0,0,0,0,0,0,0,2,0,0,3,0,6,2,2,2,6,2,8,5,4,5,2,2,6,6,8,2
159,2,0,2,6,1,1,1,1,3,2,2,1,2,1,1,1,1,0,1,0,0,2,1,0,0,2,1,2,0,0,1,2,7,8,0,0,5,6,4,4,8,2,8,4,7,7,2,4
160,2,5,1,8,2,1,1,1,1,2,1,1,2,2,3,2,1,0,0,2,0,0,1,0,0,0,1,2,2,0,0,0,2,2,4,5,2,2,0,5,0,5,7,2,0,0,3,2
161,2,1,2,8,2,2,2,1,1,3,2,2,3,2,3,1,1,0,1,0,1,1,1,1,0,2,2,3,2,0,1,0,0,4,8,7,0,0,7,8,5,2,4,0,4,4,2,0
162,2,2,1,3,2,1,2,1,1,1,2,1,2,1,3,2,1,0,0,0,2,1,1,1,0,2,1,2,1,0,2,2,2,2,4,5,2,2,0,5,0,3,7,2,0,0,3,2
163,2,4,2,1,2,1,1,1,1,1,2,1,2,1,3,1,2,0,0,0,0,0,1,0,0,2,1,2,1,0,1,1,7,8,0,0,5,6,4,4,8,2,8,4,7,7,2,4
164,2,4,2,1,1,1,1,1,3,1,2,1,2,1,1,2,2,0,0,0,0,0,1,0,0,2,1,2,1,0,2,0,5,0,6,4,7,5,1,1,1,4,8,5,1,1,5,5
165,1,2,2,2,2,2,2,1,1,3,2,2,1,1,1,2,2,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3
166,2,2,1,5,2,1,1,1,1,2,2,2,2,2,3,1,2,2,0,2,2,2,1,0,1,2,2,2,2,0,2,1,6,2,2,2,6,2,8,5,4,5,2,2,0,6,8,2
167,1,3,1,7,1,1,2,1,1,2,2,2,2,2,3,1,1,0,0,0,1,0,1,0,0,2,2,2,0,1,1,2,8,5,7,6,4,8,5,7,7,8,1,1,2,2,4,8
168,2,4,1,5,2,2,2,1,1,2,2,2,2,1,3,2,2,0,0,0,0,0,1,1,0,2,2,2,0,0,2,1,2,2,4,5,2,2,0,5,0,3,2,2,0,0,3,2
169,2,3,1,7,2,2,2,1,1,2,2,2,3,1,3,1,2,2,0,0,0,0,0,0,1,2,2,3,0,0,1,1,6,7,2,2,6,7,8,0,4,3,2,7,6,6,8,7
170,1,4,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,3,0,2,0,0,1,0,0,1,2,2,1,0,1,2,8,5,7,6,4,8,5,7,7,1,1,1,2,2,4,8
171,2,3,1,2,2,2,1,1,1,2,2,2,3,1,3,2,1,0,0,0,0,0,1,1,0,2,2,3,0,1,2,0,2,7,4,5,2,7,0,0,0,3,2,7,6,0,3,7
172,2,2,1,5,2,2,1,1,1,2,2,2,3,1,3,1,2,0,0,0,0,0,1,1,0,2,2,3,1,1,1,0,6,7,2,2,6,7,8,0,4,3,2,7,6,6,8,7
173,1,5,1,11,2,1,2,1,1,2,2,1,3,1,3,2,1,3,0,2,0,0,1,1,0,0,1,3,0,1,2,2,4,1,1,1,1,4,2,6,6,6,5,8,8,5,1,1
174,1,4,1,1,2,2,2,1,2,2,2,2,2,1,3,1,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,8,5,7,6,4,8,5,7,7,8,1,1,2,2,4,8
175,2,2,1,5,2,1,1,1,1,2,2,1,1,1,3,2,2,2,0,0,0,1,1,0,0,2,1,2,0,1,2,1,2,2,4,5,2,2,0,5,0,3,7,7,0,0,3,2
176,2,1,1,7,2,2,2,1,1,2,2,2,2,1,3,2,2,1,0,2,0,1,1,0,0,2,2,2,1,1,2,1,2,2,4,5,2,2,0,5,0,3,2,2,0,0,3,2
177,2,1,1,4,1,1,1,1,2,2,2,3,3,1,3,3,1,1,0,2,0,0,1,2,0,2,0,3,0,1,3,0,6,7,2,2,6,7,8,0,4,3,7,7,6,6,8,7
178,2,2,1,5,2,1,2,1,1,2,2,2,3,1,3,2,1,0,0,0,2,0,1,0,0,2,2,3,0,1,2,2,2,7,4,5,2,7,0,0,0,3,2,7,6,0,3,7
179,1,2,1,5,2,2,2,2,1,1,2,1,2,1,3,2,2,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,1,6,1,8,1,1,6,2,2,6,5,1,8,8,1,1
180,1,2,1,7,2,2,2,1,1,1,2,2,2,1,3,2,1,0,2,0,0,1,0,0,0,2,2,2,0,0,2,2,1,6,1,8,1,1,2,2,2,6,1,1,8,8,1,1
181,1,4,1,1,1,2,2,1,1,2,1,2,2,1,3,2,1,0,0,1,0,1,1,0,0,1,2,2,1,0,2,2,1,6,1,8,1,1,2,2,2,1,1,1,8,8,1,1
182,2,2,2,11,1,1,2,1,1,2,2,3,3,1,1,2,2,0,0,0,2,0,0,0,0,0,0,3,1,1,2,1,0,4,8,7,0,0,7,8,5,4,4,0,4,4,5,0
183,1,5,1,11,2,1,1,1,2,2,2,3,3,2,1,2,1,0,2,0,2,2,1,2,3,2,2,0,1,1,2,0,4,1,1,1,1,4,2,6,6,6,6,8,5,5,1,1
184,1,5,2,7,2,1,1,1,1,2,2,1,1,1,3,1,1,0,1,2,2,0,1,1,0,0,0,0,1,0,0,0,3,3,3,3,8,3,3,3,3,0,3,3,3,3,7,6
185,2,4,2,7,1,2,1,1,2,2,2,2,2,1,1,1,1,0,0,1,0,1,1,0,0,2,2,2,1,1,0,0,7,8,0,0,5,6,4,4,8,2,0,4,7,7,2,4
186,1,4,2,11,2,1,1,1,1,1,1,2,2,1,1,2,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,7,3,3,3,3,0,3
187,2,4,1,6,2,1,1,1,2,2,2,2,2,1,3,2,2,4,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,4,5,2,2,0,5,0,3,2,2,0,0,3,2
188,1,8,1,7,1,2,1,1,2,3,2,1,2,1,1,2,2,0,1,0,0,0,1,2,0,2,2,2,1,1,2,0,1,6,1,8,1,1,2,2,2,6,5,1,8,8,1,1
189,1,6,1,12,2,1,2,1,1,3,2,2,3,2,3,2,1,3,1,2,2,2,1,1,0,0,3,3,1,0,2,0,4,1,1,1,1,4,2,6,6,6,1,8,5,5,1,1
190,1,8,1,2,1,2,1,1,3,3,1,2,2,2,2,2,1,0,1,0,0,0,1,0,0,0,2,2,1,1,2,0,1,6,1,8,1,1,2,2,2,1,1,1,5,8,1,1
